##name	Roget II: the new thesaurus
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp22
##bgl_sourceCharset	cp22
##bgl_targetCharset	cp22
##bgl_defaultEncoding	cp22
##bgl_sourceEncoding	utf
##bgl_targetEncoding	utf
##sourceCharset	UTF-8
##targetCharset	UTF-8
##caseSensitive	
##spellingAlternatives	
##utfEncoding	
##bgl_lastUpdated	21/0/1, 2:0
##bgl_middleUpdated	21/0/1, 2:0
##author	Ebrahim Mehri
##email	ebrahim.mehri@gmail.com
##browsingEnabled	
##bgl_creationTime	21/0/1, 1:4
##description	
accumulate	pos: verb To bring together so as to increase in mass or number: accrue, agglomerate, aggregate, amass, collect, cumulate, garner, gather, hive, pile up, roll up. 
accumulation	pos: noun A quantity accumulated: aggregation, amassment, assemblage, collection, congeries, cumulation, gathering, mass. 
accumulative	pos: adjective Increasing, as in force, by successive additions: additive, cumulative. 
accuracy	pos: noun 1. Correspondence with fact or truth: correctness, exactitude, exactness, fidelity, truth, veraciousness, veracity, veridicality, verity. 2. Freedom from error: accurateness, correctness, exactitude, exactness, preciseness, precision, rightness. 
accurate	pos: adjective 1. Conforming to fact: correct, exact, faithful, precise, right, rigorous, true, veracious, veridical. 2. Having no errors: correct, errorless, exact, precise, right, rigorous. 
accurateness	pos: noun Freedom from error: accuracy, correctness, exactitude, exactness, preciseness, precision, rightness. 
accursed	pos: adjective So annoying or detestable as to deserve condemnation: blasted, blessed, bloody, confounded, cursed, damn, darn, execrable, infernal.  blamed, damned.  blooming, ruddy. 
accusation	pos: noun A charging of someone with a misdeed: charge, denouncement, denunciation, imputation, incrimination.  indictment. 
accusatorial	pos: adjective Containing, relating to, or involving an accusation: accusatory, denunciative, denunciatory. 
accusatory	pos: adjective Containing, relating to, or involving an accusation: accusatorial, denunciative, denunciatory. 
accuse	pos: verb To make an accusation against: arraign, charge, denounce, incriminate, indict, tax. 
accused	pos: noun  A person against whom an action is brought:  defendant, respondent. 
accuser	pos: noun 1. One that accuses: denouncer, indicter. 2. One that makes a formal complaint, especially in court: claimant, complainant, plaintiff. 
accustom	pos: verb To make familiar through constant practice or use: condition, habituate, inure, wont. 
accustomed	pos: adjective 1. Commonly practiced or used: customary, habitual, regular, usual, wonted. 2. Familiar through repetition: chronic, habitual, routine. 3. In the habit: habituated, used, wont. 
ace	pos: noun A person with a high degree of knowledge or skill in a particular field: adept, authority, dab hand, expert, master, past master, professional, proficient, wizard.  whiz.  cracker jack.  dab. pos: adjective Exceptionally good of its kind: banner, blue-ribbon, brag, capital, champion, excellent, fine, first-class, first-rate, prime, quality, splendid, superb, superior, terrific, tiptop, top.  A-one, bully, dandy, great, swell, topflight, topnotch.  boss.  tophole. pos: verb  To win a victory over, as in battle or a competition: beat, best, conquer, defeat, master, overcome, prevail against ( over), rout, subdue, subjugate, surmount, triumph over, vanquish, worst.  trim, whip.  lick.  carry ( win) the day, get ( have) the best of, get ( have) the better of, go someone one better. 
acerb	pos: adjective Having a taste characteristic of that produced by acids: acerbic, acetous, acid, acidulous, dry, sour, tangy, tart. 
acerbic	pos: adjective 1. Having a noticeably sharp pungent taste or smell: acrid, bitter, harsh, sour. 2. Having a taste characteristic of that produced by acids: acerb, acetous, acid, acidulous, dry, sour, tangy, tart. 3. So sharp as to cause mental pain: acid, acidic, acrid, astringent, biting, caustic, corrosive, cutting, mordacious, mordant, pungent, scathing, sharp, slashing, stinging, trenchant, truculent, vitriolic. 
acerbity	pos: noun Irony or bitterness, as of tone: acidity, acridity, causticity, corrosiveness, mordacity, mordancy, sarcasm, trenchancy. 
acetous	pos: adjective Having a taste characteristic of that produced by acids: acerb, acerbic, acid, acidulous, dry, sour, tangy, tart. 
ache	pos: verb 1. To have or cause a feeling of physical pain or discomfort: hurt, pain, pang, twinge. 2. To experience or express compassion: commiserate, compassionate, feel, pity, sympathize, yearn.  be sorry, have ( take) pity. 3. To have a strong longing for: covet, desire, hanker, long, pant, pine, want, wish, yearn.  hone. pos: noun A sensation of physical discomfort occurring as the result of disease or injury: pain, pang, prick, prickle, smart, soreness, stab, sting, stitch, throe, twinge.  misery. 
achieve	pos: verb To succeed in doing: accomplish, attain, gain, reach, realize.  score. 
achievement	pos: noun 1. Something completed or attained successfully: accomplishment, acquirement, acquisition, attainment, effort, feat. 2. A great or heroic deed: exploit, feat, gest, masterstroke, stunt, tour de force. 
aching	pos: adjective Marked by, causing, or experiencing physical pain: achy, afflictive, hurtful, nagging, painful, smarting, sore. 
achy	pos: adjective Marked by, causing, or experiencing physical pain: aching, afflictive, hurtful, nagging, painful, smarting, sore. 
acicula	pos: noun A sharp or tapered end: acumination, apex, cusp, mucro, mucronation, point, tip. 
acicular	pos: adjective Having an end that tapers to a point: aciculate, aciculated, acuminate, acute, cuspate, cuspated, cuspidate, cuspidated, mucronate, pointed, pointy, sharp. 
aciculate	pos: adjective Having an end that tapers to a point: acicular, aciculated, acuminate, acute, cuspate, cuspated, cuspidate, cuspidated, mucronate, pointed, pointy, sharp. 
aciculated	pos: adjective Having an end that tapers to a point: acicular, aciculate, acuminate, acute, cuspate, cuspated, cuspidate, cuspidated, mucronate, pointed, pointy, sharp. 
acid	pos: adjective 1. Having a taste characteristic of that produced by acids: acerb, acerbic, acetous, acidulous, dry, sour, tangy, tart. 2. So sharp as to cause mental pain: acerbic, acidic, acrid, astringent, biting, caustic, corrosive, cutting, mordacious, mordant, pungent, scathing, sharp, slashing, stinging, trenchant, truculent, vitriolic. 
acidic	pos: adjective So sharp as to cause mental pain: acerbic, acid, acrid, astringent, biting, caustic, corrosive, cutting, mordacious, mordant, pungent, scathing, sharp, slashing, stinging, trenchant, truculent, vitriolic. 
acidity	pos: noun Irony or bitterness, as of tone: acerbity, acridity, causticity, corrosiveness, mordacity, mordancy, sarcasm, trenchancy. 
acidulous	pos: adjective Having a taste characteristic of that produced by acids: acerb, acerbic, acetous, acid, dry, sour, tangy, tart. 
acknowledge	pos: verb 1. To recognize, often reluctantly, the reality or truth of: admit, avow, concede, confess, grant, own (up).  fess up.  allow. 2. To express recognition of: admit, recognize. 
acknowledgement	pos: noun 
acknowledgment	pos: noun 1. The act of admitting to something: admission, avowal, confession. 2. Favorable notice, as of an achievement: credit, recognition. 
acme	pos: noun The highest point or state: apex, apogee, climax, crest, crown, culmination, height, meridian, peak, pinnacle, summit, top, zenith.  payoff.  fastigium. 
acquaint	pos: verb 1. To make known socially: introduce, present. 2. To impart information to: advise, apprise, educate, enlighten, inform, notify, tell. 
acquaintance	pos: noun 1. A person whom one knows casually: friend. 2. Personal knowledge derived from participation or observation: experience, familiarity. 
acquainted	pos: adjective 1. Having good knowledge of: conversant, familiar, versant, versed.  up on. 2. Provided with information; made aware: advised, educated, enlightened, informed, instructed, knowledgeable. 
acquiesce	pos: verb To respond affirmatively; receive with agreement or compliance: accede, accept, agree, assent, consent, nod, subscribe, yes. 
acquiescence	pos: noun 1. The act or process of accepting: acceptance, agreement, assent, consent, nod, yes.  OK. 2. The quality or state of willingly carrying out the wishes of others: amenability, amenableness, compliance, compliancy, deference, obedience, submission, submissiveness, tractability, tractableness. 
acquiescent	pos: adjective 1. Submitting without objection or resistance: nonresistant, passive, resigned, submissive. 2. Disposed to accept or agree: agreeable, game, minded, ready, willing.  fain. 
acquirable	pos: adjective Capable of being obtained or used: attainable, available, gettable, obtainable, procurable.  on hand, to be had. 
acquire	pos: verb 1. To come into possession of: come by, gain, get, obtain, procure, secure, win.  land, pick up. 2. To come gradually to have: develop, form. 
acquirement	pos: noun Something completed or attained successfully: accomplishment, achievement, acquisition, attainment, effort, feat. 
acquisition	pos: noun 1. Something completed or attained successfully: accomplishment, achievement, acquirement, attainment, effort, feat. 2. Something tending to augment something else: accession, addition, augmentation. 
acquisitive	pos: adjective Having a strong urge to obtain or possess something, especially material wealth, in quantity: avaricious, avid, covetous, grasping, greedy, hungry.  grabby. 
acquisitiveness	pos: noun Excessive desire for more than one needs or deserves: avarice, avariciousness, avidity, covetousness, cupidity, graspingness, greed.  grabbiness. 
acquit	pos: verb 1.  To free from a charge or imputation of guilt: absolve, clear, exculpate, exonerate, vindicate.  purge. 2. To conduct oneself in a specified way: act, bear, behave, carry, comport, demean, deport, do, quit. 
acquittal	pos: noun  A freeing or clearing from accusation or guilt: exculpation, exoneration, vindication. 
acre	pos: noun Usually extensive real estate. Often used in plural: estate, land, property. 
acrid	pos: adjective 1. Having a noticeably sharp pungent taste or smell: acerbic, bitter, harsh, sour. 2. So sharp as to cause mental pain: acerbic, acid, acidic, astringent, biting, caustic, corrosive, cutting, mordacious, mordant, pungent, scathing, sharp, slashing, stinging, trenchant, truculent, vitriolic. 
acridity	pos: noun Irony or bitterness, as of tone: acerbity, acidity, causticity, corrosiveness, mordacity, mordancy, sarcasm, trenchancy. 
acrimonious	pos: adjective Bitingly hostile: bitter, embittered, hard, rancorous, resentful, virulent. 
acrimony	pos: noun The quality or state of feeling bitter: bitterness, embitterment, gall, rancor, rancorousness, resentfulness, resentment, virulence, virulency. 
act	pos: noun 1. The process of doing: action. 2. Something done: action, deed, doing, thing, work. 3. The formal product of a legislative or judicial body: assize, bill, enactment, law, legislation, lex, measure, statute. 4. A short theatrical piece within a larger production: sketch, skit. 5. A display of insincere behavior: acting, disguise, dissemblance, masquerade, pretense, sham, show, simulation. pos: verb 1. To conduct oneself in a specified way: acquit, bear, behave, carry, comport, demean, deport, do, quit. 2. To behave affectedly or insincerely or take on a false or misleading appearance of: counterfeit, dissemble, fake, feign, play-act, pose, pretend, put on, sham, simulate. 3. To react in a specified way: behave, function, operate, perform, work. 4. To perform the duties of another: function, officiate, serve. 5. To play the part of: do, enact, impersonate, perform, play, play-act, portray, represent. 6. To produce on the stage. Also used with : do, dramatize, enact, give, perform, present, put on, stage. 
